x_index,y_index,x_min_m,x_max_m,x_center_m,y_min_m,y_max_m,y_center_m,assert_count,yield_count,total_count,p_assert,masked
40,1,0.0,0.10000000000000053,0.050000000000000266,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
41,1,0.10000000000000053,0.20000000000000018,0.15000000000000036,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
42,1,0.20000000000000018,0.2999999999999998,0.25,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
43,1,0.2999999999999998,0.40000000000000036,0.3500000000000001,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
44,1,0.40000000000000036,0.5,0.4500000000000002,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
45,1,0.5,0.6000000000000005,0.5500000000000003,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
46,1,0.6000000000000005,0.7000000000000002,0.6500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
47,1,0.7000000000000002,0.8000000000000007,0.7500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
48,1,0.8000000000000007,0.9000000000000004,0.8500000000000005,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
49,1,0.9000000000000004,1.0,0.9500000000000002,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
50,1,1.0,1.1000000000000005,1.0500000000000003,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
51,1,1.1000000000000005,1.2000000000000002,1.1500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
52,1,1.2000000000000002,1.3000000000000007,1.2500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
53,1,1.3000000000000007,1.4000000000000004,1.3500000000000005,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
54,1,1.4000000000000004,1.5,1.4500000000000002,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
55,1,1.5,1.6000000000000005,1.5500000000000003,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
56,1,1.6000000000000005,1.7000000000000002,1.6500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
